0,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Abrines,2016-17,23,OKC,NBA,SG,68,6,15.5,2,5,0.393,1.4,3.6,0.381,0.6,1.4,0.426,0.531,0.6,0.7,0.898,0.3,1,1.3,0.6,0.5,0.1,0.5,1.7,6
2,Alex Abrines,2017-18,24,OKC,NBA,SG,75,8,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.443,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7
3,Quincy Acy,2012-13,22,TOR,NBA,PF,29,0,11.8,1.4,2.6,0.56,0,0.1,0.5,1.4,2.5,0.562,0.567,1.1,1.3,0.816,1,1.6,2.7,0.4,0.4,0.5,0.6,1.8,4
4,Quincy Acy,2013-14,23,TOT,NBA,SF,63,0,13.4,1,2.2,0.468,0.1,0.2,0.267,1,2,0.492,0.482,0.6,0.8,0.66,1.1,2.3,3.4,0.4,0.4,0.4,0.5,1.9,2.7
5,Quincy Acy,2013-14,23,TOR,NBA,SF,7,0,8.7,0.9,2,0.429,0.3,0.7,0.4,0.6,1.3,0.444,0.5,0.7,1.1,0.625,0.7,1.4,2.1,0.6,0.6,0.4,0.3,1.1,2.7
6,Quincy Acy,2013-14,23,SAC,NBA,SF,56,0,14,1.1,2.3,0.472,0,0.2,0.2,1,2.1,0.496,0.48,0.5,0.8,0.667,1.2,2.4,3.6,0.4,0.3,0.4,0.5,2,2.7
7,Quincy Acy,2014-15,24,NYK,NBA,PF,68,22,18.9,2.2,4.9,0.459,0.3,0.9,0.3,2,4,0.494,0.486,1.1,1.4,0.784,1.2,3.3,4.4,1,0.4,0.3,0.9,2.2,5.9
8,Quincy Acy,2015-16,25,SAC,NBA,PF,59,29,14.8,2,3.6,0.556,0.3,0.8,0.388,1.7,2.8,0.606,0.6,0.8,1.2,0.735,1.1,2.1,3.2,0.5,0.5,0.4,0.5,1.7,5.2
9,Quincy Acy,2016-17,26,TOT,NBA,PF,38,1,14.7,1.8,4.5,0.412,1,2.4,0.411,0.9,2.1,0.413,0.521,1.2,1.6,0.75,0.5,2.5,3,0.5,0.4,0.4,0.6,1.8,5.8
10,Quincy Acy,2016-17,26,DAL,NBA,PF,6,0,8,0.8,2.8,0.294,0.2,1.2,0.143,0.7,1.7,0.4,0.324,0.3,0.5,0.667,0.3,1,1.3,0,0,0,0.3,1.5,2.2
